Item Identifier,Item Weight,Item Fat Content,Item Visibility,Item Type,Outlet Identifier,Outlet Establishment Year,Outlet Size,Outlet Location Type,Outlet Type,Sales,Rating,Order Date
FDC28,18.384,Low Fat,0.065613,Frozen Foods,OUT046,1997,Small,Tier 1,Supermarket Type1,3582.5278,4.1,2023-02-07
FDU19,,reg,0.0,Baking Goods,OUT017,2007,,Tier 2,Supermarket Type1,912.6022,4.0,2023-10-05
NCY22,7.705,Low Fat ,0.060195,Household,OUT010,1998,,Tier 3,Grocery Store,1340.56,4.6,2022-07-18
FDJ44,10.233,Low Fat ,0.028699,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,7420.217,4.5,2022-03-07
FDU52,10.244,Low Fat,0.042294,Frozen Foods,OUT010,1998,,Tier 3,Grocery Store,3091.7677,4.5,2023-05-27
FDY17,9.351,low fat,0.070541,Dairy,OUT017,2007,,Tier 2,Supermarket Type1,1810.304,4.662,2023-10-23
NCG32,18.976,low fat,0.043019,Health and Hygiene,OUT013,1987,High,Tier 3,Supermarket Type1,5833.4949,4.9,2023-12-23
DRC23,5.584,Regular,0.069268,Soft Drinks,OUT017,2007,,Tier 2,Supermarket Type1,3276.6216,4.0,2022-11-13
FDC54,,Low Fat ,0.092318,Starchy Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,4872.9089,4.1,2022-09-15
NCN18,,Low Fat,0.055616,Household,OUT049,1999,Medium,Tier 1,Supermarket Type1,1344.1984,3.5,2022-06-16
FDM57,7.542,Low Fat,0.036805,Baking Goods,OUT049,1999,Medium,Tier 1,Supermarket Type1,4202.7105,4.3,2023-03-18
FDH24,5.563,reg,0.0,Baking Goods,OUT010,1998,,Tier 3,Grocery Store,1871.5295,3.6,2023-10-10
FDK50,12.18,LF,0.01267,Baking Goods,OUT027,1985,Medium,Tier 3,Supermarket Type3,1766.2272,3.8,2022-05-18
NCA37,20.692,Low Fat,0.053062,Household,OUT010,1998,,Tier 3,Grocery Store,822.0321,3.4,2023-10-24
FDY48,11.794,Low Fat ,0.124405,Fruits and Vegetables,OUT018,2009,Medium,Tier 3,Supermarket Type2,5240.8915,3.723,2022-10-09
FDH38,13.559, Regular,0.121455,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,3719.535,4.2,2023-10-28
FDG24,20.741,reg,0.221787,Frozen Foods,OUT013,1987,High,Tier 3,Supermarket Type1,4157.039,4.0,2022-11-20
FDF12,19.954,LF,0.083142,Baking Goods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1318.5926,4.2,2023-01-11
FDN40,18.543, Regular,0.022428,Canned,OUT013,1987,High,Tier 3,Supermarket Type1,946.2529,3.9,2023-10-05
FDP38,12.339,Regular,0.055391,Dairy,OUT017,2007,,Tier 2,Supermarket Type1,1287.0347,4.4,2023-06-29
FDP18,19.939,Regular,0.067628,Fruits and Vegetables,OUT046,1997,Small,Tier 1,Supermarket Type1,2530.1109,4.4,2023-03-27
FDH26,10.128,low fat,0.109254,Frozen Foods,OUT045,2002,,Tier 2,Supermarket Type1,3545.782,3.7,2022-08-04
FDG36,,Low Fat,0.03541,Dairy,OUT049,1999,Medium,Tier 1,Supermarket Type1,3370.8058,3.9,2022-12-06
FDP39,7.657,LF,0.025901,Fruits and Vegetables,OUT045,2002,,Tier 2,Supermarket Type1,2685.7866,3.9,2022-07-04
FDV33,8.335,Regular,0.118638,Dairy,OUT010,1998,,Tier 3,Grocery Store,474.5853,4.1,2023-08-31
FDE29,5.379,low fat,0.056164,Meat,OUT045,2002,,Tier 2,Supermarket Type1,2615.8946,4.5,2023-02-05
FDH29,,Regular,0.119087,Baking Goods,OUT018,2009,Medium,Tier 3,Supermarket Type2,5306.5951,4.1,2022-04-06
FDF13,5.222,Low Fat ,0.06736,Canned,OUT049,1999,Medium,Tier 1,Supermarket Type1,1664.0456,3.9,2023-12-28
FDU19,9.122,reg,0.069962,Baking Goods,OUT013,1987,High,Tier 3,Supermarket Type1,2143.6892,4.2,2023-04-17
FDD42,12.364,Low Fat ,0.018987,Meat,OUT013,1987,High,Tier 3,Supermarket Type1,1930.189,4.277,2022-04-24
FDY17,9.351,Low Fat,0.050958,Dairy,OUT049,1999,Medium,Tier 1,Supermarket Type1,2631.0471,4.4,2023-07-21
FDW36,9.086,low fat,0.042008,Frozen Foods,OUT013,1987,High,Tier 3,Supermarket Type1,2145.7742,3.7,2022-04-15
FDS52,9.787,low fat,0.017293,Baking Goods,OUT018,2009,Medium,Tier 3,Supermarket Type2,1369.1962,3.7,2022-03-26
FDA47,5.41,Regular,0.033017,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,2178.3215,4.3,2023-03-15
FDE17,,Low Fat,0.02325,Dairy,OUT017,2007,,Tier 2,Supermarket Type1,1948.9192,4.6,2022-04-03
FDM41,20.307,reg,0.039035,Canned,OUT046,1997,Small,Tier 1,Supermarket Type1,3724.3211,3.6,2022-09-02
FDQ23,11.436,Low Fat,0.028877,Breads,OUT035,2004,Small,Tier 2,Supermarket Type1,2654.5066,3.9,2022-04-29
FDD55,9.653,Regular,0.030097,Breads,OUT018,2009,Medium,Tier 3,Supermarket Type2,706.4954,3.7,2023-03-04
NCA33,7.735,LF,0.0,Health and Hygiene,OUT010,1998,,Tier 3,Grocery Store,1132.0955,3.8,2023-05-19
FDQ29,15.199,Low Fat ,0.118617,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,5899.5694,4.3,2022-10-04
FDG19,14.248,LF,0.022467,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,3967.0357,4.201,2022-05-24
NCH53,10.593,low fat,0.169516,Health and Hygiene,OUT046,1997,Small,Tier 1,Supermarket Type1,1928.6201,4.0,2023-10-11
FDG11,13.626, Regular,0.021222,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,7632.6698,4.4,2022-10-24
FDC38,12.14,LF,0.0,Snack Foods,OUT046,1997,Small,Tier 1,Supermarket Type1,943.4113,3.692,2022-03-21
FDY42,12.403,reg,0.036751,Fruits and Vegetables,OUT019,1985,Small,Tier 1,Grocery Store,3273.7807,4.2,2022-02-27
FDN46,,Low Fat,0.036629,Frozen Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,605.3683,3.4,2022-08-25
DRU50,,Low Fat,0.016914,Soft Drinks,OUT019,1985,Small,Tier 1,Grocery Store,2430.0105,3.6,2023-02-23
FDA58,12.812,low fat,0.0,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,1139.8961,4.6,2023-11-25
FDS51,5.332,LF,0.064429,Frozen Foods,OUT013,1987,High,Tier 3,Supermarket Type1,2357.3809,4.6,2022-07-24
FDY50,,LF,0.063983,Seafood,OUT045,2002,,Tier 2,Supermarket Type1,4192.4466,4.2,2023-07-25
FDJ22,17.145, Regular,0.068867,Meat,OUT045,2002,,Tier 2,Supermarket Type1,2019.9905,4.6,2022-11-01
NCV17,16.21,Low Fat ,0.019679,Others,OUT049,1999,Medium,Tier 1,Supermarket Type1,1403.6096,4.2,2022-05-13
FDX22,16.516,low fat,0.119006,Frozen Foods,OUT017,2007,,Tier 2,Supermarket Type1,3102.4908,3.9,2023-03-05
FDU55,20.9,Low Fat,0.124052,Baking Goods,OUT046,1997,Small,Tier 1,Supermarket Type1,1046.3952,4.2,2023-10-09
DRU26,16.625, Regular,0.021098,Soft Drinks,OUT045,2002,,Tier 2,Supermarket Type1,642.3289,4.912,2022-09-25
FDY12,,low fat,0.039834,Fruits and Vegetables,OUT017,2007,,Tier 2,Supermarket Type1,969.8568,4.961,2022-01-11
NCF28,15.921,low fat,0.151674,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,3367.3109,4.015,2023-07-02
DRA30,7.906, Regular,0.081362,Soft Drinks,OUT013,1987,High,Tier 3,Supermarket Type1,2083.8681,4.0,2023-12-15
FDY45,18.592,Low Fat,0.076457,Meat,OUT027,1985,Medium,Tier 3,Supermarket Type3,4755.6575,3.8,2023-11-29
NCE23,15.973,Low Fat,0.110767,Household,OUT019,1985,Small,Tier 1,Grocery Store,1164.7803,3.8,2022-02-24
FDE19,4.573,Low Fat,0.037302,Canned,OUT045,2002,,Tier 2,Supermarket Type1,2596.8409,4.2,2022-11-27
FDW24,17.997,Low Fat ,0.060784,Frozen Foods,OUT019,1985,Small,Tier 1,Grocery Store,519.939,3.5,2023-11-21
DRJ33,,reg,0.026662,Soft Drinks,OUT035,2004,Small,Tier 2,Supermarket Type1,2264.3487,4.4,2023-07-25
FDR44,20.279,LF,0.049772,Fruits and Vegetables,OUT017,2007,,Tier 2,Supermarket Type1,2143.3752,3.9,2022-01-21
NCD31,9.601,LF,0.051088,Household,OUT049,1999,Medium,Tier 1,Supermarket Type1,1555.1283,4.1,2023-04-24
FDK38,16.765,Low Fat,0.047621,Breads,OUT046,1997,Small,Tier 1,Supermarket Type1,1510.977,3.6,2022-09-15
NCD53,7.873,Low Fat,0.115145,Health and Hygiene,OUT017,2007,,Tier 2,Supermarket Type1,2660.5206,4.0,2022-05-29
FDQ37,6.686,Regular,0.024056,Snack Foods,OUT019,1985,Small,Tier 1,Grocery Store,2968.58,4.6,2023-04-22
FDX20,19.133,low fat,0.065738,Canned,OUT035,2004,Small,Tier 2,Supermarket Type1,1526.8927,3.7,2023-10-06
FDF24,12.755,LF,0.035249,Breads,OUT035,2004,Small,Tier 2,Supermarket Type1,1475.8149,4.025,2023-09-23
FDY59,18.93,Regular,0.024047,Frozen Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1977.2441,3.5,2022-04-09
DRR17,10.172,reg,0.027548,Soft Drinks,OUT046,1997,Small,Tier 1,Supermarket Type1,3724.2792,3.5,2022-12-27
DRE40,14.14,Regular,0.170158,Soft Drinks,OUT017,2007,,Tier 2,Supermarket Type1,1632.2193,4.3,2022-06-12
FDG30,8.154,Low Fat ,0.11442,Dairy,OUT018,2009,Medium,Tier 3,Supermarket Type2,2143.5534,4.0,2022-08-25
DRR24,14.444, Regular,0.056584,Hard Drinks,OUT045,2002,,Tier 2,Supermarket Type1,6225.014,3.9,2023-05-07
FDG30,8.154,Low Fat ,0.0,Dairy,OUT013,1987,High,Tier 3,Supermarket Type1,2967.7326,4.3,2022-03-09
FDC37,,reg,0.076501,Meat,OUT019,1985,Small,Tier 1,Grocery Store,841.0897,3.8,2023-09-08
FDF55,15.98,reg,0.009431,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,1041.6423,4.2,2022-03-31
NCP37,17.195,low fat,0.016377,Household,OUT017,2007,,Tier 2,Supermarket Type1,1890.1611,4.105,2023-05-24
FDR10,20.918,low fat,0.038172,Baking Goods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1157.753,3.8,2022-09-13
FDQ29,15.199,Low Fat ,0.081515,Snack Foods,OUT019,1985,Small,Tier 1,Grocery Store,441.7013,3.9,2022-09-12
FDW12,20.945, Regular,0.053248,Breakfast,OUT049,1999,Medium,Tier 1,Supermarket Type1,4035.9471,4.1,2022-08-08
DRE22,,LF,0.039905,Soft Drinks,OUT035,2004,Small,Tier 2,Supermarket Type1,790.6777,3.877,2023-06-06
FDX56,18.104,LF,0.038954,Meat,OUT010,1998,,Tier 3,Grocery Store,4300.4515,4.2,2023-12-01
DRX29,5.096,low fat,0.058827,Soft Drinks,OUT046,1997,Small,Tier 1,Supermarket Type1,866.2842,4.5,2023-11-27
FDU55,20.9,LF,0.065249,Baking Goods,OUT018,2009,Medium,Tier 3,Supermarket Type2,2193.9975,3.816,2023-08-30
NCV20,16.094,Low Fat,0.027763,Health and Hygiene,OUT013,1987,High,Tier 3,Supermarket Type1,2447.5287,4.0,2023-08-06
FDC29,17.674,Low Fat,0.083279,Canned,OUT049,1999,Medium,Tier 1,Supermarket Type1,1627.2651,3.9,2023-07-04
FDC19,15.267,Low Fat ,0.073778,Baking Goods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1850.3067,4.1,2023-08-03
FDD12,7.357,Regular,0.038535,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,4095.9465,3.994,2023-01-07
FDQ57,17.702, Regular,0.028085,Fruits and Vegetables,OUT017,2007,,Tier 2,Supermarket Type1,5001.7281,3.6,2023-10-14
FDN40,18.543,Regular,0.058537,Canned,OUT035,2004,Small,Tier 2,Supermarket Type1,2855.359,3.8,2023-04-14
FDK39,7.804,Low Fat ,0.087699,Frozen Foods,OUT045,2002,,Tier 2,Supermarket Type1,836.03,3.9,2022-01-18
DRD42,19.259,Low Fat,0.058749,Hard Drinks,OUT045,2002,,Tier 2,Supermarket Type1,5228.0137,4.1,2023-01-14
DRN55,4.855,Low Fat,0.046917,Soft Drinks,OUT010,1998,,Tier 3,Grocery Store,1392.9226,3.4,2022-04-12
FDQ59,14.942,Low Fat,0.031177,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,3711.5814,4.5,2022-11-27
FDF30,13.516,Low Fat ,0.030452,Baking Goods,OUT017,2007,,Tier 2,Supermarket Type1,613.3716,3.8,2023-11-13
DRF51,19.821,low fat,0.066519,Hard Drinks,OUT049,1999,Medium,Tier 1,Supermarket Type1,1077.7929,3.3,2022-04-12
FDC22,7.88,reg,0.133571,Dairy,OUT035,2004,Small,Tier 2,Supermarket Type1,1849.1378,4.498,2023-08-11
NCW29,8.441,low fat,0.009326,Others,OUT046,1997,Small,Tier 1,Supermarket Type1,2905.736,3.1,2023-01-26
NCD18,16.399,Low Fat,0.074361,Household,OUT049,1999,Medium,Tier 1,Supermarket Type1,4147.9062,3.702,2022-12-29
DRE40,14.14,reg,0.010808,Soft Drinks,OUT019,1985,Small,Tier 1,Grocery Store,651.155,3.8,2022-08-08
FDU11,5.68,Low Fat ,0.033576,Breads,OUT046,1997,Small,Tier 1,Supermarket Type1,4995.2157,4.1,2022-08-28
DRW43,9.96,reg,0.03907,Hard Drinks,OUT013,1987,High,Tier 3,Supermarket Type1,2812.4844,3.8,2022-07-07
FDU37,12.834,Regular,0.075931,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,2853.523,3.8,2023-01-08
FDJ53,,Low Fat,0.07974,Dairy,OUT049,1999,Medium,Tier 1,Supermarket Type1,1308.5206,3.9,2022-03-18
NCC13,11.653,LF,0.0639,Health and Hygiene,OUT010,1998,,Tier 3,Grocery Store,1188.4302,3.9,2023-02-21
FDQ23,11.436,low fat,0.026278,Breads,OUT018,2009,Medium,Tier 3,Supermarket Type2,2322.1249,3.8,2023-09-28
DRW26,10.189,Low Fat ,0.041974,Soft Drinks,OUT018,2009,Medium,Tier 3,Supermarket Type2,2691.7483,3.568,2023-05-21
NCQ15,10.993,Low Fat ,0.030919,Health and Hygiene,OUT010,1998,,Tier 3,Grocery Store,444.5587,3.693,2022-05-19
FDW29,14.51,Regular,0.024787,Dairy,OUT049,1999,Medium,Tier 1,Supermarket Type1,1128.7267,4.48,2022-12-01
DRK24,17.062,low fat,0.038073,Hard Drinks,OUT049,1999,Medium,Tier 1,Supermarket Type1,3915.2946,4.1,2023-02-17
DRJ23,19.745,Regular,0.040381,Soft Drinks,OUT010,1998,,Tier 3,Grocery Store,218.5453,3.5,2023-09-26
NCG46,,Low Fat,0.030178,Others,OUT019,1985,Small,Tier 1,Grocery Store,399.4423,4.0,2023-01-01
FDP46,17.918,Regular,0.051742,Snack Foods,OUT035,2004,Small,Tier 2,Supermarket Type1,3586.8588,4.6,2023-08-19
NCD38,6.225,Low Fat ,0.030224,Household,OUT035,2004,Small,Tier 2,Supermarket Type1,2553.4363,4.3,2022-06-21
NCJ50,15.228,low fat,0.023518,Health and Hygiene,OUT035,2004,Small,Tier 2,Supermarket Type1,1242.9867,3.714,2022-09-30
FDR27,5.639,Regular,0.05294,Breads,OUT017,2007,,Tier 2,Supermarket Type1,2649.3213,3.5,2023-11-27
FDW31,20.288,LF,0.0,Baking Goods,OUT019,1985,Small,Tier 1,Grocery Store,374.7592,3.9,2022-11-29
FDH47,11.626,LF,0.044336,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,6159.1091,3.7,2023-03-16
FDD25,10.464,Low Fat ,0.028361,Fruits and Vegetables,OUT035,2004,Small,Tier 2,Supermarket Type1,2030.1399,4.0,2022-08-28
FDK55,20.937,Low Fat,0.065187,Starchy Foods,OUT027,1985,Medium,Tier 3,Supermarket Type3,4281.0754,3.8,2023-06-21
FDA16,12.896,reg,0.046713,Dairy,OUT013,1987,High,Tier 3,Supermarket Type1,1503.7839,3.7,2022-10-01
FDE43,,low fat,0.086349,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,1759.1128,4.2,2022-03-21
NCQ19,19.026,LF,0.070203,Health and Hygiene,OUT017,2007,,Tier 2,Supermarket Type1,1602.6782,3.6,2023-08-19
NCD38,6.225,LF,0.060089,Household,OUT049,1999,Medium,Tier 1,Supermarket Type1,603.8942,4.314,2022-03-16
FDE25,17.088, Regular,0.046788,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,1793.2634,4.2,2023-01-25
NCA18,7.4,Low Fat ,0.071407,Household,OUT017,2007,,Tier 2,Supermarket Type1,1596.3714,3.633,2022-01-10
FDR15,7.06,Low Fat ,0.094048,Baking Goods,OUT018,2009,Medium,Tier 3,Supermarket Type2,6419.5563,3.2,2022-06-06
FDK27,10.421,Low Fat,0.067428,Fruits and Vegetables,OUT017,2007,,Tier 2,Supermarket Type1,2443.0728,3.7,2023-11-27
FDH36,17.088, Regular,0.035866,Snack Foods,OUT045,2002,,Tier 2,Supermarket Type1,3416.058,4.1,2023-11-02
FDW51,15.542, Regular,0.032428,Baking Goods,OUT013,1987,High,Tier 3,Supermarket Type1,3733.7105,3.9,2022-03-23
FDS34,12.787,reg,0.057088,Baking Goods,OUT013,1987,High,Tier 3,Supermarket Type1,2814.2748,3.9,2022-10-22
FDA55,6.279,Regular,0.03677,Fruits and Vegetables,OUT046,1997,Small,Tier 1,Supermarket Type1,3794.7289,3.885,2023-07-06
FDW16,17.116,Regular,0.038234,Canned,OUT027,1985,Medium,Tier 3,Supermarket Type3,2747.3671,3.7,2023-08-14
FDM59,15.761,low fat,0.039384,Breads,OUT049,1999,Medium,Tier 1,Supermarket Type1,1364.2756,4.2,2022-03-16
NCG43,14.986,Low Fat,0.052658,Household,OUT017,2007,,Tier 2,Supermarket Type1,1285.8508,3.6,2022-02-14
FDH48,18.515,LF,0.033001,Canned,OUT035,2004,Small,Tier 2,Supermarket Type1,1525.2858,3.7,2022-02-18
FDD52,20.203, Regular,0.052989,Frozen Foods,OUT045,2002,,Tier 2,Supermarket Type1,1437.4783,4.1,2023-04-24
DRM44,11.912,Regular,0.055099,Hard Drinks,OUT027,1985,Medium,Tier 3,Supermarket Type3,1241.5448,3.8,2022-07-07
FDM42,5.835,Regular,0.056852,Snack Foods,OUT045,2002,,Tier 2,Supermarket Type1,884.883,4.1,2022-01-06
FDN30,6.759,low fat,0.066888,Starchy Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,3040.9379,3.7,2022-05-27
FDS52,9.787,low fat,0.129983,Baking Goods,OUT035,2004,Small,Tier 2,Supermarket Type1,443.4207,3.7,2023-02-09
DRX30,8.157,Low Fat ,0.03205,Soft Drinks,OUT018,2009,Medium,Tier 3,Supermarket Type2,10702.2741,4.4,2023-05-03
FDM10,7.376,LF,0.034494,Canned,OUT035,2004,Small,Tier 2,Supermarket Type1,2839.7481,3.9,2023-10-23
FDK37,11.932,Low Fat ,0.016651,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,4443.9885,3.8,2022-11-19
FDX24,,reg,0.045555,Frozen Foods,OUT035,2004,Small,Tier 2,Supermarket Type1,2380.3422,4.0,2022-06-06
NCA15,7.414,Low Fat,0.069284,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,1716.5016,3.6,2023-02-16
FDC23,9.823,LF,0.137826,Canned,OUT035,2004,Small,Tier 2,Supermarket Type1,3130.6162,3.7,2023-06-10
FDU40,,Low Fat ,0.058512,Seafood,OUT018,2009,Medium,Tier 3,Supermarket Type2,1933.6328,3.6,2022-12-16
FDX33,17.218,Low Fat,0.034566,Breads,OUT010,1998,,Tier 3,Grocery Store,525.4566,4.1,2022-08-04
FDR44,20.279,Low Fat ,0.046389,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,2031.6829,4.4,2023-03-15
FDC37,20.067, Regular,0.035717,Meat,OUT018,2009,Medium,Tier 3,Supermarket Type2,1711.901,3.9,2022-10-07
FDU51,8.538,Low Fat ,0.263408,Breakfast,OUT035,2004,Small,Tier 2,Supermarket Type1,1923.7547,3.6,2023-07-28
NCM24,10.332,LF,0.080478,Household,OUT010,1998,,Tier 3,Grocery Store,2163.665,3.7,2022-06-22
FDS41,7.539,Regular,0.01921,Meat,OUT013,1987,High,Tier 3,Supermarket Type1,1894.8609,4.238,2022-04-18
NCM44,15.08,low fat,0.053234,Others,OUT017,2007,,Tier 2,Supermarket Type1,1521.936,4.2,2022-05-12
NCV29,7.742,low fat,0.041308,Household,OUT035,2004,Small,Tier 2,Supermarket Type1,2355.4346,3.9,2022-10-30
FDA43,18.354,Low Fat,0.019778,Snack Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1376.7521,4.2,2022-06-26
NCA10,21.006,LF,0.100774,Health and Hygiene,OUT046,1997,Small,Tier 1,Supermarket Type1,2092.0583,3.7,2022-03-07
NCA24,16.225,Low Fat ,0.0,Others,OUT018,2009,Medium,Tier 3,Supermarket Type2,1373.4057,3.6,2022-07-07
FDC49,,Regular,0.0,Meat,OUT035,2004,Small,Tier 2,Supermarket Type1,1398.1758,4.233,2022-12-10
FDE24,12.488,Low Fat ,0.029826,Snack Foods,OUT013,1987,High,Tier 3,Supermarket Type1,808.5842,3.6,2022-04-01
FDD27,19.047,reg,0.032955,Baking Goods,OUT010,1998,,Tier 3,Grocery Store,505.2363,4.4,2022-11-16
DRF20,,Low Fat,0.105908,Soft Drinks,OUT018,2009,Medium,Tier 3,Supermarket Type2,2092.0992,3.8,2023-01-24
NCD54,8.593,Low Fat,0.047721,Household,OUT046,1997,Small,Tier 1,Supermarket Type1,4535.9438,3.8,2023-02-19
FDR46,20.099,Low Fat,0.0578,Fruits and Vegetables,OUT049,1999,Medium,Tier 1,Supermarket Type1,2703.2495,4.2,2023-07-18
FDV28,,low fat,0.068262,Breads,OUT018,2009,Medium,Tier 3,Supermarket Type2,1202.4538,4.4,2022-08-23
FDH42,6.903,low fat,0.106405,Meat,OUT045,2002,,Tier 2,Supermarket Type1,6705.4066,3.7,2023-02-06
FDS30,6.474,LF,0.099209,Dairy,OUT018,2009,Medium,Tier 3,Supermarket Type2,4099.0843,4.498,2023-03-20
FDJ45,14.777,Low Fat ,0.145059,Meat,OUT035,2004,Small,Tier 2,Supermarket Type1,4322.343,4.2,2022-06-11
FDK17,7.562,Low Fat ,0.06922,Fruits and Vegetables,OUT010,1998,,Tier 3,Grocery Store,1909.2032,4.0,2022-07-06
FDJ27,,LF,0.101619,Snack Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,7715.4198,4.1,2023-05-19
FDM29,13.557,LF,0.04562,Frozen Foods,OUT010,1998,,Tier 3,Grocery Store,1034.9883,4.1,2022-03-28
FDJ30,,Regular,0.101171,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,2354.7297,3.4,2023-10-18
NCQ22,14.662,Low Fat,0.065958,Health and Hygiene,OUT045,2002,,Tier 2,Supermarket Type1,1367.7615,3.8,2022-02-10
FDA10,,LF,0.104222,Meat,OUT013,1987,High,Tier 3,Supermarket Type1,5884.1721,4.7,2022-01-31
FDC33,11.53, Regular,0.060889,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,1354.3849,4.8,2023-10-18
NCF48,16.253,Low Fat,0.055812,Household,OUT013,1987,High,Tier 3,Supermarket Type1,1262.1518,3.7,2022-09-21
FDY25,18.173,reg,0.047588,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,13086.9648,4.3,2023-09-19
NCF52,8.729,Low Fat,0.055491,Household,OUT049,1999,Medium,Tier 1,Supermarket Type1,2203.2963,4.5,2022-04-23
FDB30,5.332,Low Fat,0.049681,Fruits and Vegetables,OUT018,2009,Medium,Tier 3,Supermarket Type2,1163.3157,4.614,2022-02-21
FDM51,8.576, Regular,0.050152,Baking Goods,OUT027,1985,Medium,Tier 3,Supermarket Type3,12402.9542,4.1,2022-08-20
FDA43,18.354,low fat,0.069971,Snack Foods,OUT010,1998,,Tier 3,Grocery Store,1286.8957,4.1,2022-04-01
DRF51,,low fat,0.040099,Hard Drinks,OUT013,1987,High,Tier 3,Supermarket Type1,3178.4496,4.1,2023-05-12
FDE24,12.488,LF,0.038093,Snack Foods,OUT019,1985,Small,Tier 1,Grocery Store,2282.4287,3.9,2023-12-23
FDP25,20.416,Low Fat,0.030428,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,5734.187,4.3,2023-02-11
FDY15,15.803, Regular,0.119794,Breads,OUT045,2002,,Tier 2,Supermarket Type1,3321.3669,3.6,2022-04-27
FDP42,10.581,Low Fat,0.016239,Canned,OUT035,2004,Small,Tier 2,Supermarket Type1,1834.3338,3.5,2023-01-23
NCY27,11.304,Low Fat,0.014963,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,2511.635,3.884,2022-08-11
FDE47,14.375,low fat,0.032191,Canned,OUT013,1987,High,Tier 3,Supermarket Type1,657.2989,4.4,2023-03-19
FDF50,,Regular,0.049511,Canned,OUT017,2007,,Tier 2,Supermarket Type1,5966.8187,3.9,2022-06-06
FDN45,12.636,Low Fat ,0.049507,Canned,OUT018,2009,Medium,Tier 3,Supermarket Type2,1933.0589,3.7,2022-02-27
FDU18,17.707,Low Fat,0.123875,Frozen Foods,OUT027,1985,Medium,Tier 3,Supermarket Type3,11124.1618,3.938,2023-08-25
FDB31,,Regular,0.017044,Snack Foods,OUT013,1987,High,Tier 3,Supermarket Type1,6934.1744,4.384,2023-11-28
FDV46,20.828,LF,0.056224,Snack Foods,OUT013,1987,High,Tier 3,Supermarket Type1,4971.6167,4.7,2022-07-23
FDE10,9.23,reg,0.059521,Snack Foods,OUT027,1985,Medium,Tier 3,Supermarket Type3,10172.9511,3.7,2023-02-04
DRC38,9.228,reg,0.023059,Soft Drinks,OUT017,2007,,Tier 2,Supermarket Type1,3694.5354,4.114,2023-11-17
NCJ56,5.504,low fat,0.035629,Household,OUT019,1985,Small,Tier 1,Grocery Store,426.7565,3.5,2022-02-10
DRE52,,low fat,0.0,Hard Drinks,OUT035,2004,Small,Tier 2,Supermarket Type1,2139.7798,3.8,2023-02-17
NCG32,,Low Fat,0.019431,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,2323.7341,3.6,2022-07-25
FDW31,20.288,Low Fat,0.070916,Baking Goods,OUT049,1999,Medium,Tier 1,Supermarket Type1,2768.4684,3.9,2023-06-28
NCH42,17.427,Low Fat,0.043022,Others,OUT027,1985,Medium,Tier 3,Supermarket Type3,1933.0991,3.0,2023-07-14
FDN14,5.884,low fat,0.0745,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,6309.975,3.639,2022-08-16
FDC52,21.079,Low Fat ,0.055528,Baking Goods,OUT045,2002,,Tier 2,Supermarket Type1,1393.4902,3.7,2023-06-17
FDY33,7.095,Low Fat,0.063842,Breads,OUT013,1987,High,Tier 3,Supermarket Type1,4330.3731,3.4,2023-12-10
FDS36,4.917, Regular,0.07593,Frozen Foods,OUT046,1997,Small,Tier 1,Supermarket Type1,2083.9567,4.1,2023-11-04
FDB40,19.928,Regular,0.04125,Snack Foods,OUT013,1987,High,Tier 3,Supermarket Type1,7811.1601,4.5,2023-05-15
